name,street,suburb,state,postcode,latitude,longitude
ALDI Amaroo,12 Pioneer Street,Amaroo,Australian Capital Territory,2914,-35.16533714897931,149.13197717715352
ALDI Belconnen,"Cnr Benjamin Way, Cohen Street",Belconnen,Australian Capital Territory,2617,-35.2381850378627,149.06407004526426
ALDI Canberra CBD,148 Bunda Street,Canberra CBD,Australian Capital Territory,2601,-35.27913433323691,149.13399275969905
ALDI Casey,15 Kingsland Parade,Casey,Australian Capital Territory,2913,-35.17491001802421,149.09557487446745
ALDI Chisholm,36 Benham Street,Chisholm,Australian Capital Territory,2905,-35.41488899063587,149.1293881400122
ALDI Conder,9 Sidney Nolan Street,Conder,Australian Capital Territory,2906,-35.45671831362396,149.09370632644138
ALDI Gungahlin Marketplace,33 Hibberson Street,Gungahlin Marketplace,Australian Capital Territory,2912,-35.18525044991492,149.13412722944776
ALDI Holt,50 - 60 Hardwick Crescent,Holt,Australian Capital Territory,2615,-35.22124631291976,149.01939129772612
ALDI Macquarie,1 Bowman Street,Macquarie,Australian Capital Territory,2614,-35.253122796591455,149.0720248278404
ALDI Majura Park,18 - 26 Spitfire Avenue,Majura Park,Australian Capital Territory,2609,-35.29916896437487,149.19089034111096
ALDI Tuggeranong,"Cnr Anketell Street, Soward Way",Tuggeranong,Australian Capital Territory,2900,-35.41768662002347,149.06867886566312
ALDI Weston,"Cnr Cooleman Court, Brierly Street",Weston,Australian Capital Territory,2611,-35.341093574472204,149.05259024132755
ALDI Albion Park Rail,10 Ash Avenue,Albion Park Rail,New South Wales,2527,-34.5708864517263,150.80059366332665
ALDI Albury,617 - 621 Young Street,Albury,New South Wales,2640,-36.07601138176162,146.9246238675685
ALDI Ambarvale,45 Woodhouse Drive,Ambarvale,New South Wales,2560,-34.0853743118726,150.8009268343427
ALDI Armidale,95 Barney Street,Armidale,New South Wales,2350,-30.517472933509467,151.66947789802387
ALDI Arndell Park,"Cnr Holbeche Road, Walters Road",Arndell Park,New South Wales,2148,-33.789227659918296,150.88994987714196
ALDI Ashfield,260 A Liverpool Road,Ashfield,New South Wales,2131,-33.88905582268505,151.12331800971683
ALDI Auburn,"Cnr Queen St, Harrow Rd",Auburn,New South Wales,2144,-33.8506237,151.0320102
ALDI Balgowlah,22 - 26 Roseberry Street,Balgowlah,New South Wales,2093,-33.788207353865815,151.26818880890457
ALDI Ballina,2 North Creek Road,Ballina,New South Wales,2478,-28.850235663319612,153.55413338659002
